SKU_ID,Mfg_Part_Num,Part_Desc,E1_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,Classpath,MOBILE_DESC,INVOICE_DESC,UNSPSC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UOM_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UOM_3,ATTRIBUTE_LABEL_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UOM_4,ATTRIBUTE_LABEL_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UOM_5
GT200-SKU-011,PDSH4816AF-V02,PDSH4816AF Dishwasher SS Built-In Variant 2,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Rheem Manufacturing,FRIGIDAIRE®,FRIGIDAIRE,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• FRIGIDAIRE® PDSH4816AF Dishwasher SS Built-In
• High Durability Industrial Grade",FRIGIDAIRE PDSH4816AF DISHWASHER SS BUILT,40100010,Voltage Rating,120,V,Amperage Rating,15,A,Sound Level,47,dBA,Material,Stainless Steel,,Depth With Door Open,50-1/4,in
GT200-SKU-012,WDTS7024RZ-V02,WDTS7024RZ Eco Series Dishwasher SS Variant 2,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Whirlpool Corporation,Whirlpool®,Whirlpool,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• Whirlpool® WDTS7024RZ Eco Series Dishwasher SS
• High Durability Industrial Grade",WHIRLPOOL WDTS7024RZ ECO SERIES DISHWASH,40100011,Voltage Rating,120,V,Amperage Rating,10,A,Sound Level,41,dBA,Material,Stainless Steel,,Depth With Door Open,50-3/16,in
GT200-SKU-013,D0724A-V02,Framing Saw Blade 7-1/4 in 24T Variant 2,-- Unbranded --,Freud Inc (2435),Freud Inc,Diablo®,Diablo,Tools & Hardware>Power Tool Accessories>Saw Blades,"• Diablo® Framing Saw Blade 7-1/4 in 24T
• High Durability Industrial Grade",DIABLO FRAMING SAW BLADE 7-1/4 IN 24T,40100012,Blade Diameter,7-1/4,in,Number of Teeth,24,,Arbor Size,5/8,in,Kerf Thickness,0.059,in,Material,Carbide,
GT200-SKU-014,3MABR-V02,Cubitron II Cut-Off Wheel 4-1/2 in Variant 2,-- Unbranded --,3 M Co (5293),3 M Co,3M®,3M,Tools & Hardware>Abrasives>Bonded Abrasives>Cut-Off Wheels,"• 3M® Cubitron II Cut-Off Wheel 4-1/2 in
• High Durability Industrial Grade",3M CUBITRON II CUT-OFF WHEEL 4-1/,40100013,Wheel Diameter,4-1/2,in,Thickness,0.045,in,Arbor Hole Size,7/8,in,Maximum Speed,13300,rpm,Abrasive Material,Precision Shaped Grain,
GT200-SKU-015,AUTONET-V02,Abranet 6 in Grip Mesh Disc 180 Grit Variant 2,-- Unbranded --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka®,Mirka,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Discs,"• Mirka® Abranet 6 in Grip Mesh Disc 180 Grit
• High Durability Industrial Grade",MIRKA ABRANET 6 IN GRIP MESH DISC 18,40100014,Disc Diameter,6,in,Grit,180,,Backing Weight,Mesh,,Abrasive Material,Aluminum Oxide,,Attachment Type,Grip,
GT200-SKU-016,KRAFTFORM-V02,Kraftform Plus Slotted Screwdriver 1/4 in Variant 2,-- Unbranded --,Wera Tools NA Inc (WERTO),Wera Tools NA Inc,Wera®,Wera,Tools & Hardware>Hand Tools>Screwdrivers,"• Wera® Kraftform Plus Slotted Screwdriver 1/4 in
• High Durability Industrial Grade",WERA KRAFTFORM PLUS SLOTTED SCREWDR,40100015,Tip Size,1/4,in,Shank Length,4,in,Handle Material,Multi-Component,,Overall Length,8-1/2,in,Tip Type,Slotted,
GT200-SKU-017,SHOCKWAVE-V02,Shockwave Impact Duty Insert Bit PH2 Variant 2,-- Unbranded --,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee®,Milwaukee,Tools & Hardware>Power Tool Accessories>Driver Bits,"• Milwaukee® Shockwave Impact Duty Insert Bit PH2
• High Durability Industrial Grade",MILWAUKEE SHOCKWAVE IMPACT DUTY INSERT B,40100016,Drive Size,1/4,in,Bit Size,PH2,,Overall Length,1,in,Material,Alloy Steel,,Shank Type,Hex,
GT200-SKU-018,5362-W-V02,Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V Variant 2,-- Unbranded --,Leviton Mfg Co (4927),Leviton Mfg Co,Leviton®,Leviton,Electrical & Lighting>Wiring Devices>Receptacles,"• Leviton® Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V
• High Durability Industrial Grade",LEVITON EXTRA HEAVY DUTY INDUSTRIAL GR,40100017,Voltage Rating,125,V,Amperage Rating,20,A,NEMA Configuration,5-20R,,Number of Poles,2,,Color,White,
GT200-SKU-019,AH5966Y-V02,Arrow Hart Safety Grip Heavy Duty Plug 15A 125V Variant 2,-- Unbranded --,Cooper Wiring Devices (3560),Cooper Wiring Devices,Cooper®,Cooper,Electrical & Lighting>Wiring Devices>Plugs & Connectors,"• Cooper® Arrow Hart Safety Grip Heavy Duty Plug 15A 125V
• High Durability Industrial Grade",COOPER ARROW HART SAFETY GRIP HEAVY D,40100018,Voltage Rating,125,V,Amperage Rating,15,A,NEMA Configuration,5-15P,,Number of Wires,3,,Material,Nylon,
GT200-SKU-020,TYPE-X-V02,Fire-Rated Type X Gypsum Board 5/8 in x 4 ft x 8 ft Variant 2,-- Unbranded --,Certainteed Gypsum (2765),Certainteed Gypsum,CertainTeed®,CertainTeed,Building Materials>Drywall>Gypsum Panels,"• CertainTeed® Fire-Rated Type X Gypsum Board 5/8 in x 4 ft x 8 ft
• High Durability Industrial Grade",CERTAINTEED FIRE-RATED TYPE X GYPSUM BOARD,40100019,Thickness,5/8,in,Width,4,ft,Length,8,ft,Fire Rating,Type X,,Edge Detail,Tapered,
GT200-SKU-021,PDSH4816AF-V03,PDSH4816AF Dishwasher SS Built-In Variant 3,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Rheem Manufacturing,FRIGIDAIRE®,FRIGIDAIRE,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• FRIGIDAIRE® PDSH4816AF Dishwasher SS Built-In
• High Durability Industrial Grade",FRIGIDAIRE PDSH4816AF DISHWASHER SS BUILT,40100020,Voltage Rating,120,V,Amperage Rating,15,A,Sound Level,47,dBA,Material,Stainless Steel,,Depth With Door Open,50-1/4,in
GT200-SKU-022,WDTS7024RZ-V03,WDTS7024RZ Eco Series Dishwasher SS Variant 3,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Whirlpool Corporation,Whirlpool®,Whirlpool,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• Whirlpool® WDTS7024RZ Eco Series Dishwasher SS
• High Durability Industrial Grade",WHIRLPOOL WDTS7024RZ ECO SERIES DISHWASH,40100021,Voltage Rating,120,V,Amperage Rating,10,A,Sound Level,41,dBA,Material,Stainless Steel,,Depth With Door Open,50-3/16,in
GT200-SKU-023,D0724A-V03,Framing Saw Blade 7-1/4 in 24T Variant 3,-- Unbranded --,Freud Inc (2435),Freud Inc,Diablo®,Diablo,Tools & Hardware>Power Tool Accessories>Saw Blades,"• Diablo® Framing Saw Blade 7-1/4 in 24T
• High Durability Industrial Grade",DIABLO FRAMING SAW BLADE 7-1/4 IN 24T,40100022,Blade Diameter,7-1/4,in,Number of Teeth,24,,Arbor Size,5/8,in,Kerf Thickness,0.059,in,Material,Carbide,
GT200-SKU-024,3MABR-V03,Cubitron II Cut-Off Wheel 4-1/2 in Variant 3,-- Unbranded --,3 M Co (5293),3 M Co,3M®,3M,Tools & Hardware>Abrasives>Bonded Abrasives>Cut-Off Wheels,"• 3M® Cubitron II Cut-Off Wheel 4-1/2 in
• High Durability Industrial Grade",3M CUBITRON II CUT-OFF WHEEL 4-1/,40100023,Wheel Diameter,4-1/2,in,Thickness,0.045,in,Arbor Hole Size,7/8,in,Maximum Speed,13300,rpm,Abrasive Material,Precision Shaped Grain,
GT200-SKU-025,AUTONET-V03,Abranet 6 in Grip Mesh Disc 180 Grit Variant 3,-- Unbranded --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka®,Mirka,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Discs,"• Mirka® Abranet 6 in Grip Mesh Disc 180 Grit
• High Durability Industrial Grade",MIRKA ABRANET 6 IN GRIP MESH DISC 18,40100024,Disc Diameter,6,in,Grit,180,,Backing Weight,Mesh,,Abrasive Material,Aluminum Oxide,,Attachment Type,Grip,
GT200-SKU-026,KRAFTFORM-V03,Kraftform Plus Slotted Screwdriver 1/4 in Variant 3,-- Unbranded --,Wera Tools NA Inc (WERTO),Wera Tools NA Inc,Wera®,Wera,Tools & Hardware>Hand Tools>Screwdrivers,"• Wera® Kraftform Plus Slotted Screwdriver 1/4 in
• High Durability Industrial Grade",WERA KRAFTFORM PLUS SLOTTED SCREWDR,40100025,Tip Size,1/4,in,Shank Length,4,in,Handle Material,Multi-Component,,Overall Length,8-1/2,in,Tip Type,Slotted,
GT200-SKU-027,SHOCKWAVE-V03,Shockwave Impact Duty Insert Bit PH2 Variant 3,-- Unbranded --,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee®,Milwaukee,Tools & Hardware>Power Tool Accessories>Driver Bits,"• Milwaukee® Shockwave Impact Duty Insert Bit PH2
• High Durability Industrial Grade",MILWAUKEE SHOCKWAVE IMPACT DUTY INSERT B,40100026,Drive Size,1/4,in,Bit Size,PH2,,Overall Length,1,in,Material,Alloy Steel,,Shank Type,Hex,
GT200-SKU-028,5362-W-V03,Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V Variant 3,-- Unbranded --,Leviton Mfg Co (4927),Leviton Mfg Co,Leviton®,Leviton,Electrical & Lighting>Wiring Devices>Receptacles,"• Leviton® Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V
• High Durability Industrial Grade",LEVITON EXTRA HEAVY DUTY INDUSTRIAL GR,40100027,Voltage Rating,125,V,Amperage Rating,20,A,NEMA Configuration,5-20R,,Number of Poles,2,,Color,White,
GT200-SKU-029,AH5966Y-V03,Arrow Hart Safety Grip Heavy Duty Plug 15A 125V Variant 3,-- Unbranded --,Cooper Wiring Devices (3560),Cooper Wiring Devices,Cooper®,Cooper,Electrical & Lighting>Wiring Devices>Plugs & Connectors,"• Cooper® Arrow Hart Safety Grip Heavy Duty Plug 15A 125V
• High Durability Industrial Grade",COOPER ARROW HART SAFETY GRIP HEAVY D,40100028,Voltage Rating,125,V,Amperage Rating,15,A,NEMA Configuration,5-15P,,Number of Wires,3,,Material,Nylon,
GT200-SKU-030,TYPE-X-V03,Fire-Rated Type X Gypsum Board 5/8 in x 4 ft x 8 ft Variant 3,-- Unbranded --,Certainteed Gypsum (2765),Certainteed Gypsum,CertainTeed®,CertainTeed,Building Materials>Drywall>Gypsum Panels,"• CertainTeed® Fire-Rated Type X Gypsum Board 5/8 in x 4 ft x 8 ft
• High Durability Industrial Grade",CERTAINTEED FIRE-RATED TYPE X GYPSUM BOARD,40100029,Thickness,5/8,in,Width,4,ft,Length,8,ft,Fire Rating,Type X,,Edge Detail,Tapered,
GT200-SKU-031,PDSH4816AF-V04,PDSH4816AF Dishwasher SS Built-In Variant 4,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Rheem Manufacturing,FRIGIDAIRE®,FRIGIDAIRE,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• FRIGIDAIRE® PDSH4816AF Dishwasher SS Built-In
• High Durability Industrial Grade",FRIGIDAIRE PDSH4816AF DISHWASHER SS BUILT,40100030,Voltage Rating,120,V,Amperage Rating,15,A,Sound Level,47,dBA,Material,Stainless Steel,,Depth With Door Open,50-1/4,in
GT200-SKU-032,WDTS7024RZ-V04,WDTS7024RZ Eco Series Dishwasher SS Variant 4,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Whirlpool Corporation,Whirlpool®,Whirlpool,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• Whirlpool® WDTS7024RZ Eco Series Dishwasher SS
• High Durability Industrial Grade",WHIRLPOOL WDTS7024RZ ECO SERIES DISHWASH,40100031,Voltage Rating,120,V,Amperage Rating,10,A,Sound Level,41,dBA,Material,Stainless Steel,,Depth With Door Open,50-3/16,in
GT200-SKU-033,D0724A-V04,Framing Saw Blade 7-1/4 in 24T Variant 4,-- Unbranded --,Freud Inc (2435),Freud Inc,Diablo®,Diablo,Tools & Hardware>Power Tool Accessories>Saw Blades,"• Diablo® Framing Saw Blade 7-1/4 in 24T
• High Durability Industrial Grade",DIABLO FRAMING SAW BLADE 7-1/4 IN 24T,40100032,Blade Diameter,7-1/4,in,Number of Teeth,24,,Arbor Size,5/8,in,Kerf Thickness,0.059,in,Material,Carbide,
GT200-SKU-034,3MABR-V04,Cubitron II Cut-Off Wheel 4-1/2 in Variant 4,-- Unbranded --,3 M Co (5293),3 M Co,3M®,3M,Tools & Hardware>Abrasives>Bonded Abrasives>Cut-Off Wheels,"• 3M® Cubitron II Cut-Off Wheel 4-1/2 in
• High Durability Industrial Grade",3M CUBITRON II CUT-OFF WHEEL 4-1/,40100033,Wheel Diameter,4-1/2,in,Thickness,0.045,in,Arbor Hole Size,7/8,in,Maximum Speed,13300,rpm,Abrasive Material,Precision Shaped Grain,
GT200-SKU-035,AUTONET-V04,Abranet 6 in Grip Mesh Disc 180 Grit Variant 4,-- Unbranded --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka®,Mirka,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Discs,"• Mirka® Abranet 6 in Grip Mesh Disc 180 Grit
• High Durability Industrial Grade",MIRKA ABRANET 6 IN GRIP MESH DISC 18,40100034,Disc Diameter,6,in,Grit,180,,Backing Weight,Mesh,,Abrasive Material,Aluminum Oxide,,Attachment Type,Grip,
GT200-SKU-036,KRAFTFORM-V04,Kraftform Plus Slotted Screwdriver 1/4 in Variant 4,-- Unbranded --,Wera Tools NA Inc (WERTO),Wera Tools NA Inc,Wera®,Wera,Tools & Hardware>Hand Tools>Screwdrivers,"• Wera® Kraftform Plus Slotted Screwdriver 1/4 in
• High Durability Industrial Grade",WERA KRAFTFORM PLUS SLOTTED SCREWDR,40100035,Tip Size,1/4,in,Shank Length,4,in,Handle Material,Multi-Component,,Overall Length,8-1/2,in,Tip Type,Slotted,
GT200-SKU-037,SHOCKWAVE-V04,Shockwave Impact Duty Insert Bit PH2 Variant 4,-- Unbranded --,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee®,Milwaukee,Tools & Hardware>Power Tool Accessories>Driver Bits,"• Milwaukee® Shockwave Impact Duty Insert Bit PH2
• High Durability Industrial Grade",MILWAUKEE SHOCKWAVE IMPACT DUTY INSERT B,40100036,Drive Size,1/4,in,Bit Size,PH2,,Overall Length,1,in,Material,Alloy Steel,,Shank Type,Hex,
GT200-SKU-038,5362-W-V04,Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V Variant 4,-- Unbranded --,Leviton Mfg Co (4927),Leviton Mfg Co,Leviton®,Leviton,Electrical & Lighting>Wiring Devices>Receptacles,"• Leviton® Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V
• High Durability Industrial Grade",LEVITON EXTRA HEAVY DUTY INDUSTRIAL GR,40100037,Voltage Rating,125,V,Amperage Rating,20,A,NEMA Configuration,5-20R,,Number of Poles,2,,Color,White,
GT200-SKU-039,AH5966Y-V04,Arrow Hart Safety Grip Heavy Duty Plug 15A 125V Variant 4,-- Unbranded --,Cooper Wiring Devices (3560),Cooper Wiring Devices,Cooper®,Cooper,Electrical & Lighting>Wiring Devices>Plugs & Connectors,"• Cooper® Arrow Hart Safety Grip Heavy Duty Plug 15A 125V
• High Durability Industrial Grade",COOPER ARROW HART SAFETY GRIP HEAVY D,40100038,Voltage Rating,125,V,Amperage Rating,15,A,NEMA Configuration,5-15P,,Number of Wires,3,,Material,Nylon,
GT200-SKU-040,TYPE-X-V04,Fire-Rated Type X Gypsum Board 5/8 in x 4 ft x 8 ft Variant 4,-- Unbranded --,Certainteed Gypsum (2765),Certainteed Gypsum,CertainTeed®,CertainTeed,Building Materials>Drywall>Gypsum Panels,"• CertainTeed® Fire-Rated Type X Gypsum Board 5/8 in x 4 ft x 8 ft
• High Durability Industrial Grade",CERTAINTEED FIRE-RATED TYPE X GYPSUM BOARD,40100039,Thickness,5/8,in,Width,4,ft,Length,8,ft,Fire Rating,Type X,,Edge Detail,Tapered,
GT200-SKU-041,PDSH4816AF-V05,PDSH4816AF Dishwasher SS Built-In Variant 5,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Rheem Manufacturing,FRIGIDAIRE®,FRIGIDAIRE,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• FRIGIDAIRE® PDSH4816AF Dishwasher SS Built-In
• High Durability Industrial Grade",FRIGIDAIRE PDSH4816AF DISHWASHER SS BUILT,40100040,Voltage Rating,120,V,Amperage Rating,15,A,Sound Level,47,dBA,Material,Stainless Steel,,Depth With Door Open,50-1/4,in
GT200-SKU-042,WDTS7024RZ-V05,WDTS7024RZ Eco Series Dishwasher SS Variant 5,-- Unbranded --,Appliance Dealers Cooperative (APPDE),Whirlpool Corporation,Whirlpool®,Whirlpool,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"• Whirlpool® WDTS7024RZ Eco Series Dishwasher SS
• High Durability Industrial Grade",WHIRLPOOL WDTS7024RZ ECO SERIES DISHWASH,40100041,Voltage Rating,120,V,Amperage Rating,10,A,Sound Level,41,dBA,Material,Stainless Steel,,Depth With Door Open,50-3/16,in
GT200-SKU-043,D0724A-V05,Framing Saw Blade 7-1/4 in 24T Variant 5,-- Unbranded --,Freud Inc (2435),Freud Inc,Diablo®,Diablo,Tools & Hardware>Power Tool Accessories>Saw Blades,"• Diablo® Framing Saw Blade 7-1/4 in 24T
• High Durability Industrial Grade",DIABLO FRAMING SAW BLADE 7-1/4 IN 24T,40100042,Blade Diameter,7-1/4,in,Number of Teeth,24,,Arbor Size,5/8,in,Kerf Thickness,0.059,in,Material,Carbide,
GT200-SKU-044,3MABR-V05,Cubitron II Cut-Off Wheel 4-1/2 in Variant 5,-- Unbranded --,3 M Co (5293),3 M Co,3M®,3M,Tools & Hardware>Abrasives>Bonded Abrasives>Cut-Off Wheels,"• 3M® Cubitron II Cut-Off Wheel 4-1/2 in
• High Durability Industrial Grade",3M CUBITRON II CUT-OFF WHEEL 4-1/,40100043,Wheel Diameter,4-1/2,in,Thickness,0.045,in,Arbor Hole Size,7/8,in,Maximum Speed,13300,rpm,Abrasive Material,Precision Shaped Grain,
GT200-SKU-045,AUTONET-V05,Abranet 6 in Grip Mesh Disc 180 Grit Variant 5,-- Unbranded --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka®,Mirka,Tools & Hardware>Abrasives>Coated Abrasives>Sanding Discs,"• Mirka® Abranet 6 in Grip Mesh Disc 180 Grit
• High Durability Industrial Grade",MIRKA ABRANET 6 IN GRIP MESH DISC 18,40100044,Disc Diameter,6,in,Grit,180,,Backing Weight,Mesh,,Abrasive Material,Aluminum Oxide,,Attachment Type,Grip,
GT200-SKU-046,KRAFTFORM-V05,Kraftform Plus Slotted Screwdriver 1/4 in Variant 5,-- Unbranded --,Wera Tools NA Inc (WERTO),Wera Tools NA Inc,Wera®,Wera,Tools & Hardware>Hand Tools>Screwdrivers,"• Wera® Kraftform Plus Slotted Screwdriver 1/4 in
• High Durability Industrial Grade",WERA KRAFTFORM PLUS SLOTTED SCREWDR,40100045,Tip Size,1/4,in,Shank Length,4,in,Handle Material,Multi-Component,,Overall Length,8-1/2,in,Tip Type,Slotted,
GT200-SKU-047,SHOCKWAVE-V05,Shockwave Impact Duty Insert Bit PH2 Variant 5,-- Unbranded --,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee®,Milwaukee,Tools & Hardware>Power Tool Accessories>Driver Bits,"• Milwaukee® Shockwave Impact Duty Insert Bit PH2
• High Durability Industrial Grade",MILWAUKEE SHOCKWAVE IMPACT DUTY INSERT B,40100046,Drive Size,1/4,in,Bit Size,PH2,,Overall Length,1,in,Material,Alloy Steel,,Shank Type,Hex,
GT200-SKU-048,5362-W-V05,Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V Variant 5,-- Unbranded --,Leviton Mfg Co (4927),Leviton Mfg Co,Leviton®,Leviton,Electrical & Lighting>Wiring Devices>Receptacles,"• Leviton® Extra Heavy Duty Industrial Grade Duplex Receptacle 20A 125V
• High Durability Industrial Grade",LEVITON EXTRA HEAVY DUTY INDUSTRIAL GR,40100047,Voltage Rating,125,V,Amperage Rating,20,A,NEMA Configuration,5-20R,,Number of Poles,2,,Color,White,
GT200-SKU-049,AH5966Y-V05,Arrow Hart Safety Grip Heavy Duty Plug 15A 125V Variant 5,-- Unbranded --,Cooper Wiring Devices (3560),Cooper Wiring Devices,Cooper®,Cooper,Electrical & Lighting>Wiring Devices>Plugs & Connectors,"• Cooper® Arrow Hart Safety Grip Heavy Duty Plug 15A 125V
• High Durability Industrial Grade",COOPER ARROW HART SAFETY GRIP HEAVY D,40100048,Voltage Rating,125,V,Amperage Rating,15,A,NEMA Configuration,5-15P,,Number of Wires,3,,Material,Nylon,
